user,course,period,messages,acad_year,.modules
id108,A,Y2P07,8,NA,0
id108,A,Y2P09,10,2020-2021,2
id108,A,Y2P10,3,2020-2021,3
id108,A,Y2P11,18,2020-2021,2
id108,A,Y2P12,7,NA,0
id108,A,Y2P13,2,2020-2021,2
id108,A,Y2P15,11,NA,0
id109,A,Y2P04,11,2020-2021,2
id109,A,Y2P06,6,2020-2021,2
id109,A,Y2P10,12,2020-2021,3
id109,A,Y2P12,1,NA,0
id109,A,Y2P14,18,2020-2021,1
id109,A,Y2P15,16,NA,0
id110,A,Y2P03,18,2020-2021,2
id110,A,Y2P04,5,2020-2021,2
id110,A,Y2P05,41,2020-2021,2
id110,A,Y2P06,77,2020-2021,2
id110,A,Y2P07,19,NA,0
id110,A,Y2P09,27,2020-2021,2
id110,A,Y2P10,10,2020-2021,3
id110,A,Y2P11,11,2020-2021,2
id110,A,Y2P12,47,NA,0
id110,A,Y2P14,5,2020-2021,1
id112,A,Y2P03,3,2020-2021,2
id112,A,Y2P04,22,2020-2021,2
id112,A,Y2P05,24,2020-2021,2
id112,A,Y2P10,11,2020-2021,3
id112,A,Y2P11,16,2020-2021,2
id112,A,Y2P14,15,2020-2021,1
id113,A,Y2P04,3,2020-2021,2
id113,A,Y2P05,1,2020-2021,2
id114,A,Y2P03,7,2020-2021,2
id114,A,Y2P04,6,2020-2021,2
id114,A,Y2P05,13,2020-2021,2
id114,A,Y2P06,26,2020-2021,2
id114,A,Y2P07,16,NA,0
id114,A,Y2P09,11,2020-2021,2
id114,A,Y2P13,2,2020-2021,2
id115,A,Y2P03,35,2020-2021,2
id115,A,Y2P04,73,2020-2021,2
id115,A,Y2P05,55,2020-2021,2
id115,A,Y2P06,32,2020-2021,2
id115,A,Y2P07,12,NA,0
id115,A,Y2P09,7,2020-2021,2
id115,A,Y2P10,2,2020-2021,3
id115,A,Y2P11,12,2020-2021,2
id115,A,Y2P12,7,NA,0
id115,A,Y2P13,4,2020-2021,2
